epoch,aux_field_loss,aux_opp_boosts_loss,aux_opp_hp_loss,aux_opp_moves_loss,aux_opp_species_loss,aux_opp_stats_loss,aux_opp_statuses_loss,aux_opp_types_loss,aux_own_boosts_loss,aux_own_hp_loss,aux_own_moves_loss,aux_own_species_loss,aux_own_stats_loss,aux_own_statuses_loss,aux_own_types_loss,loss,meta_plan_loss,policy_accuracy,policy_loss,val_aux_field_loss,val_aux_opp_boosts_loss,val_aux_opp_hp_loss,val_aux_opp_moves_loss,val_aux_opp_species_loss,val_aux_opp_stats_loss,val_aux_opp_statuses_loss,val_aux_opp_types_loss,val_aux_own_boosts_loss,val_aux_own_hp_loss,val_aux_own_moves_loss,val_aux_own_species_loss,val_aux_own_stats_loss,val_aux_own_statuses_loss,val_aux_own_types_loss,val_loss,val_meta_plan_loss,val_policy_accuracy,val_policy_loss,val_value_loss,val_value_mae,value_loss,value_mae
0,0.022933214902877808,0.009271025657653809,0.08941471576690674,0.26319989562034607,2.22579026222229,0.005253895185887814,0.13147486746311188,0.17206905782222748,0.009056998416781425,0.09039818495512009,0.2782593369483948,2.0759551525115967,0.01679876074194908,0.1301833987236023,0.16494445502758026,10.416034698486328,0.017806176096200943,0.5842347145080566,1.5286502838134766,0.022635409608483315,0.010004041716456413,0.07765942066907883,0.07638474553823471,1.7979792356491089,0.004384560976177454,0.1228722631931305,0.1468171626329422,0.008948693051934242,0.07859648764133453,0.09235438704490662,1.6564393043518066,0.01518552377820015,0.11841671168804169,0.13694033026695251,9.678120613098145,0.015544850379228592,0.6317327618598938,1.5032542943954468,0.12300270050764084,0.16024458408355713,0.09381212294101715,0.14628370106220245
1,0.022436300292611122,0.009266437031328678,0.08781441301107407,0.05500787869095802,1.9905190467834473,0.005078351590782404,0.1301124542951584,0.16676849126815796,0.009011244401335716,0.08928652107715607,0.0712544247508049,1.8594383001327515,0.016584862023591995,0.1287849396467209,0.15959417819976807,9.929780006408691,0.015214172191917896,0.5846629738807678,1.5264593362808228,0.022856535390019417,0.009874691255390644,0.07702664285898209,0.04065515473484993,1.7653249502182007,0.004384846426546574,0.12428603321313858,0.14634813368320465,0.009062422439455986,0.07795647531747818,0.05629453808069229,1.6486177444458008,0.015134153887629509,0.11910552531480789,0.137105792760849,9.636445045471191,0.014367450959980488,0.6245129704475403,1.5058860778808594,0.12492096424102783,0.16389048099517822,0.05779506638646126,0.10547435283660889
2,0.02226175181567669,0.009285208769142628,0.08710087835788727,0.03434259817004204,1.8884162902832031,0.0050175669603049755,0.12874379754066467,0.1646384298801422,0.009004234336316586,0.08800811320543289,0.050747036933898926,1.7677977085113525,0.016496755182743073,0.1275539994239807,0.15802156925201416,9.791707992553711,0.014136826619505882,0.5862648487091064,1.5251520872116089,0.023064665496349335,0.009924638085067272,0.07690414041280746,0.029948607087135315,1.7594820261001587,0.004338657017797232,0.12466326355934143,0.14700451493263245,0.009017696604132652,0.07820363342761993,0.04546888545155525,1.647318959236145,0.015238550491631031,0.11991715431213379,0.13773132860660553,9.631026268005371,0.013997334986925125,0.6274352669715881,1.5064162015914917,0.1306450217962265,0.17263704538345337,0.046839870512485504,0.09047045558691025
3,0.022020258009433746,0.009275659918785095,0.08596709370613098,0.02746906504034996,1.8121379613876343,0.0049606082029640675,0.1280980408191681,0.1631929725408554,0.009045382030308247,0.08706987649202347,0.04364790394902229,1.7098499536514282,0.01649370975792408,0.12633593380451202,0.1566062718629837,9.7052640914917,0.013612525537610054,0.5854083895683289,1.524400234222412,0.02298627980053425,0.009949631989002228,0.07836327701807022,0.026692956686019897,1.7728322744369507,0.0043450393714010715,0.12484116852283478,0.14752231538295746,0.009147522039711475,0.07863985747098923,0.04184604063630104,1.653937578201294,0.015262788161635399,0.120247021317482,0.13770851492881775,9.642965316772461,0.013256432488560677,0.625773549079895,1.5074794292449951,0.12987275421619415,0.17056146264076233,0.04073149338364601,0.08190697431564331
4,0.02188037894666195,0.009287189692258835,0.08567510545253754,0.024136858060956,1.7524783611297607,0.004966228734701872,0.12688672542572021,0.16207458078861237,0.00905187614262104,0.08758063614368439,0.03998396545648575,1.6619857549667358,0.016362152993679047,0.12568329274654388,0.15606409311294556,9.638728141784668,0.01334720104932785,0.5861855745315552,1.5235540866851807,0.023151857778429985,0.00985800102353096,0.07763855159282684,0.023623749613761902,1.7642455101013184,0.004445664118975401,0.1243150606751442,0.14715416729450226,0.0090886065736413,0.07799112051725388,0.03858092799782753,1.6452771425247192,0.015201994217932224,0.12040401250123978,0.13856494426727295,9.635955810546875,0.013651981949806213,0.623424232006073,1.5078117847442627,0.13348473608493805,0.17697365581989288,0.03665462136268616,0.07566805183887482
5,0.021775124594569206,0.0092678964138031,0.08523329347372055,0.02211468107998371,1.7054427862167358,0.004898034501820803,0.12604482471942902,0.1608826071023941,0.009005703963339329,0.08700979501008987,0.03768591955304146,1.6319434642791748,0.016384312883019447,0.1253991574048996,0.15568619966506958,9.589179992675781,0.013112765736877918,0.5865186452865601,1.5224883556365967,0.023163452744483948,0.009879913181066513,0.0784243643283844,0.022107014432549477,1.7594927549362183,0.004385525826364756,0.12518185377120972,0.14689549803733826,0.008996511809527874,0.07786880433559418,0.03688487783074379,1.6541390419006348,0.01541372761130333,0.11991578340530396,0.13900597393512726,9.645116806030273,0.012971870601177216,0.622793972492218,1.5088250637054443,0.13696925342082977,0.18020401895046234,0.034450799226760864,0.07162810117006302
6,0.021723199635744095,0.009268011897802353,0.08443161100149155,0.02072780951857567,1.665892481803894,0.004884358495473862,0.1256435364484787,0.16039030253887177,0.009048524312675,0.08607089519500732,0.03607585281133652,1.5806230306625366,0.016328390687704086,0.12468651682138443,0.1546223908662796,9.535269737243652,0.01311999186873436,0.5866455435752869,1.5217623710632324,0.0231793150305748,0.009886542335152626,0.07796715199947357,0.020832344889640808,1.7935599088668823,0.004367014393210411,0.12536294758319855,0.14875394105911255,0.009020092897117138,0.07722165435552597,0.035352643579244614,1.652658462524414,0.015259956941008568,0.12074097990989685,0.13978265225887299,9.665290832519531,0.013563224114477634,0.6184391379356384,1.5089019536972046,0.14132165908813477,0.18612082302570343,0.03263435512781143,0.06836499273777008
7,0.02158687263727188,0.00929203163832426,0.08355874568223953,0.019712423905730247,1.6280263662338257,0.004872369114309549,0.12527033686637878,0.15953488647937775,0.009002113714814186,0.08556242287158966,0.03484387695789337,1.5554279088974,0.01622624881565571,0.12316101789474487,0.15443433821201324,9.49647331237793,0.013048573397099972,0.5872006416320801,1.5211275815963745,0.023237677291035652,0.009901966899633408,0.07695255428552628,0.019959621131420135,1.8015702962875366,0.004348725080490112,0.12380416691303253,0.14938469231128693,0.00929216854274273,0.07737540453672409,0.034402575343847275,1.6699057817459106,0.01530604436993599,0.12060093879699707,0.14041239023208618,9.683581352233887,0.014044808223843575,0.6214187741279602,1.5095845460891724,0.14485317468643188,0.18924468755722046,0.031226173043251038,0.06592214107513428
0,0.022915741428732872,0.009543568827211857,0.08978769928216934,0.19563676416873932,2.210078239440918,0.005092900712043047,0.1337917596101761,0.16921715438365936,0.009164124727249146,0.09091346710920334,0.19749145209789276,2.074810266494751,0.016553262248635292,0.13223984837532043,0.16195367276668549,10.3218412399292,0.013126668520271778,0.6084898710250854,1.5236141681671143,0.023548444733023643,0.013317214325070381,0.07852514833211899,0.05568474903702736,1.7375080585479736,0.004702650010585785,0.12212063372135162,0.139025017619133,0.012612821534276009,0.0778290331363678,0.06751855462789536,1.6279629468917847,0.015856467187404633,0.11818420886993408,0.1295168548822403,9.559643745422363,0.013716569170355797,0.6396181583404541,1.4961689710617065,0.10961855947971344,0.1596829742193222,0.10915109515190125,0.16806039214134216
1,0.022527161985635757,0.009503258392214775,0.08862137049436569,0.03870774433016777,1.9858529567718506,0.0050040497444570065,0.13166160881519318,0.16413035988807678,0.00914070662111044,0.08960814774036407,0.05285299941897392,1.8847869634628296,0.016360104084014893,0.13076730072498322,0.1575118601322174,9.912696838378906,0.01246266532689333,0.6084684729576111,1.5217677354812622,0.02376604825258255,0.013226727955043316,0.07794888317584991,0.03116138093173504,1.713485598564148,0.004604280460625887,0.12224975228309631,0.13820433616638184,0.012522001750767231,0.0770212709903717,0.0445212721824646,1.6059865951538086,0.01587640307843685,0.11880514770746231,0.12985657155513763,9.52344036102295,0.011811898089945316,0.6287350654602051,1.4981812238693237,0.11163792014122009,0.16391447186470032,0.07184645533561707,0.1256050020456314
